col1 col2 col3 col4 col5
COJ0_AX60_R 136.762386 0.009501 110000000.0 0.0
COJ1_AX60_R 136.758645 0.004746 110000000.0 0.0
COJ1_AX60_Q 136.769587 0.00475 110000000.0 0.0
COJ2_AX60_R 136.756681 0.003789 110000000.0 0.0
COJ2_AX60_Q 136.773029 0.004746 110000000.0 0.0
COJ2_AX60_P 136.783936 0.0009501 110000000.0 0.0
COJ3_AX60_R 136.756494 0.003371 110000000.0 0.0
COJ3_AX60_Q 136.778248 0.004736 110000000.0 0.0
COJ3_AX60_P 136.79462 0.001356 110000000.0 0.0
COJ4_AX60_R 136.758065 0.003121 110000000.0 0.0
COJ4_AX60_Q 136.785264 0.00472 110000000.0 0.0
COJ4_AX60_P 136.807047 0.001579 110000000.0 0.0
COJ0_AX70_R 134.418593 0.005354 112000000.0 0.0
COJ1_AX70_R 134.415142 0.002677 112000000.0 0.0
COJ1_AX70_Q 134.42555 0.002677 112000000.0 0.0
COJ2_AX70_R 134.413426 0.002142 112000000.0 0.0
COJ2_AX70_Q 134.429056 0.002677 112000000.0 0.0
COJ2_AX70_P 134.439411 0.0005354 112000000.0 0.0
COJ3_AX70_R 134.41348 0.001912 112000000.0 0.0
COJ3_AX70_Q 134.434278 0.002677 112000000.0 0.0
COJ3_AX70_P 134.449877 0.0007649 112000000.0 0.0
COJ4_AX70_R 134.415233 0.001785 112000000.0 0.0
COJ4_AX70_Q 134.441273 0.002677 112000000.0 0.0
COJ4_AX70_P 134.462098 0.0008923 112000000.0 0.0
COJ0_AX80_R 132.215058 0.002636 112000000.0 0.0
COJ1_AX80_R 132.211912 0.001318 112000000.0 0.0
COJ1_AX80_Q 132.221754 0.001318 112000000.0 0.0
COJ2_AX80_R 132.210531 0.001054 112000000.0 0.0
COJ2_AX80_Q 132.225355 0.001318 112000000.0 0.0
COJ2_AX80_P 132.235252 0.0002636 112000000.0 0.0
COJ3_AX80_R 132.210898 0.0009414 112000000.0 0.0
COJ3_AX80_Q 132.230671 0.001318 112000000.0 0.0
COJ3_AX80_P 132.245534 0.0003766 112000000.0 0.0
COJ4_AX80_R 132.213118 0.0008787 112000000.0 0.0
COJ4_AX80_Q 132.237822 0.001318 112000000.0 0.0
COJ4_AX80_P 132.257585 0.0004393 112000000.0 0.0
COJ0_dX50_R 151.034131 0.0057 18000000.0 0.0
COJ1_dX50_R 151.03059 0.00264 16000000.0 0.0
COJ1_dX50_Q 151.042893 0.00285 16000000.0 0.0
COJ2_dX50_R 151.029756 0.00188 14000000.0 0.0
COJ2_dX50_Q 151.048138 0.00264 14000000.0 0.0
COJ2_dX50_P 151.060448 0.00057 14000000.0 0.0
COJ3_dX50_R 151.031694 0.00145 13000000.0 0.0
COJ3_dX50_Q 151.056071 0.00235 13000000.0 0.0
