los_id,z,dz,logN,dlogN,b,db,btur,dbtur,func,series,id
209,0.492769806543268,3.628802716872574e-07,15.063501889234596,0.0106481832567773,43.64362713824991,0.1869098158611212,1e-10,,voigt,Ly_a,2
219,0.5015359805790843,2.893572236017456e-06,14.56400768283316,0.0053798792216803,48.3481200318414,0.753642344191869,34.28590725933795,,voigt,OVI,1
219,0.5025590771482118,5.312529386511257e-06,17.73686553133311,0.0191980082817732,1.0000000000000002,0.0098923137623194,1.5011864583157206e-05,,voigt,Ly_a,2
219,0.5003417048353138,0.0001107687904611,12.395279376444348,1.25704488518664,10.853453687313582,59.06935574703673,1e-10,,voigt,OVI,3
219,0.501098362852038,5.537272213412647e-06,13.162633809112688,0.0472258620400916,6.326495223805683,3.2866404500051565,1e-10,,voigt,OVI,4
219,0.5007308775423304,5.62879125046583e-06,14.11986141582818,0.004533931906515,32.09691651827358,0.8249198920332331,22.05821452409582,,voigt,Ly_a,5
219,0.4995109626728451,3.548556055357738e-06,13.799105441512816,0.0143580430339681,35.288881455950126,1.2630640161758642,0.8199417146781587,,voigt,Ly_a,6
219,0.5000084898357071,1.593882604705705e-05,13.259803241342452,0.0068185473351673,50.003767083450526,0.1999861345664792,100.0,,voigt,Ly_a,7
219,0.5015396065689929,1.8340770542590533e-06,14.481197999849236,0.0030744939207202,50.01146887345589,0.1999872447763026,99.99999999246276,,voigt,Ly_a,8
219,0.5021936420985472,9.271699740801756e-06,13.980027193039138,0.0203637863422012,47.68441692517823,0.8530330265923423,1e-10,,voigt,Ly_a,9
236,0.4909385982295405,4.880787188548597e-06,13.777219357569448,0.0125238071412303,23.944301546288475,0.9867680978084644,1.0681985090823038,,voigt,OVI,1
236,0.4905429635001805,8.699441944861696e-07,14.002233631597498,0.0013641031776087,51.64550559327388,0.135627727254064,1e-10,,voigt,Ly_a,2
236,0.4907815694978282,4.730417730556221e-05,12.839383598472413,1.8724383724960108,2.613087579506655,0.4628733156962286,1e-10,,voigt,OVI,3
226,0.5031577135963831,5.39894487519737e-06,14.126900664484427,0.0168411468298862,23.55210871287293,0.9042162233787576,0.4748189896944338,,voigt,OVI,1
226,0.5032345992482091,2.072463685839824e-05,13.696313236757105,0.0424537577784505,50.00044387997312,0.1999999999999997,99.9999971476512,,voigt,Ly_a,2
226,0.5029563145991667,2.736967534677612e-05,13.255257306651531,0.117261716633712,18.553974808451436,4.237690251724532,1e-10,,voigt,OVI,3
226,0.5032119192936281,6.438270344950421e-05,12.919310272497087,0.3491244756250919,50.001667745999946,0.1999982045606534,1e-10,,voigt,Ly_a,4
226,0.5013697645861742,3.093833673195657e-06,10.99533343750465,1.1392602267259235e-10,1.420260128490204,3.107310852704457e-11,0.0169102459495057,,voigt,Ly_a,5
226,0.5055141450358175,5.895415685954396e-06,12.390923162879725,0.1806528282247957,2.763403518898847,0.0504397141508693,1e-10,,voigt,Ly_a,6
226,0.5045453645322148,6.740681120707578e-06,11.915706378042367,0.2280019387707377,3.0021429093546734,0.0517007276773852,1e-10,,voigt,Ly_a,7
218,0.4885683324176049,1.611466290385361e-05,16.023493594839138,0.5435938729751363,1.0000227491274831,18.32512947079327,0.0265513626836177,,voigt,OVI,1
218,0.4886067275037721,4.26283062735038e-06,14.351391537056394,0.0130109523320059,49.979182199064425,0.7746128966543293,70.51528246025049,,voigt,Ly_a,2
218,0.4885777868170819,1.0698215211905817e-05,13.45217076121648,0.0958457440237311,50.00303089000225,0.1999802578463894,1e-10,,voigt,Ly_a,3
218,0.4905118104699493,1.1003285934696274e-05,13.047412080943191,0.0243493834255949,50.02038145081554,0.1998671898264894,1e-10,,voigt,Ly_a,4
250,0.5120141992506402,1.6157884157806085e-06,14.0595117307161,0.0054285210361356,32.61983196808741,0.7176241364741837,1e-10,,voigt,OVI,1
250,0.5104527685586578,8.31401794086549e-07,14.592107353793708,0.0031917309003932,50.18304038316901,0.1686984362094994,1e-10,,voigt,Ly_a,2
250,0.5120144468540293,3.034591478926254e-06,13.454909702835089,0.0082144143236841,50.976843914857504,0.197704819332151,1e-10,,voigt,Ly_a,3
214,0.5171532581001477,2.2013539787569408e-06,13.948219121966837,0.0068868446362901,34.681288270001154,1.1087215565376545,1e-10,,voigt,OVI,1
214,0.5170202307090644,7.124970213858479e-05,13.233113710116312,0.3220801697081846,23.257434480830533,14.922917116735844,0.7360124320400991,,voigt,Ly_a,2
214,0.517310871758471,5.907821847868093e-06,13.395804350844756,0.1492811810699971,2.934330142841334,0.1006922842657445,0.3156910821295827,,voigt,Ly_a,3
214,0.5167936814319916,1.019543645730938e-05,12.431858360757644,0.2826017965959591,3.0003616447800696,0.0608259943956386,0.4125487978890713,,voigt,Ly_a,4
214,0.5171970117831423,2.330155595249015e-05,13.29526906290464,0.3317906622723361,15.85704150722101,10.430458616099598,1e-10,,voigt,Ly_a,5
283,0.4909857288695498,2.0470695026364533e-06,14.36023756169269,0.0049656582718987,41.348438233598905,0.3775200275881166,1e-10,,voigt,OVI,1
